Name: Samuel Steinberg,,,
"CS420 Project 2 -- February 16th, 2018",,,
Description: The following are the averages over 4 trial runs for each of the listed parameters,,,
,,,
"Experiment 0 Rules: j1=1, j2=-0.1, r1=1, r2=2, h=0",,,
Distance,Joint Entropy,Mutual Info,Correlation
1,1.177508967,0.822491033,0.933332099
2,1.286692668,0.713307332,0.866665432
3,1.368995594,0.631004406,0.799998765
4,1.433176173,0.566823827,0.733332099
5,1.483355755,0.516644245,0.666665432
6,1.521928095,0.478071905,0.599998765
7,1.550443614,0.449556386,0.533332099
8,1.569974075,0.430025925,0.466665432
9,1.581290899,0.418709101,0.399998765
10,1.584962501,0.415037499,0.333332099
11,1.581411577,0.418588423,0.266665432
12,1.570950594,0.429049406,0.199998765
13,1.553804441,0.446195559,0.133332099
14,1.530124965,0.469875035,0.066665432
,,,
,,,
"Experiment 35 Rules: j1=1, j2=0, r1=1, r2=15, h=-1",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.568853058,1.428296235,1
1,1.469551538,0.527597755,0.051112346
2,1.500466688,0.496682605,0.006665432
3,1.493761871,0.503387422,0.006667901
4,1.491181173,0.50596812,0.011667901
5,1.503722535,0.493426759,0.013332099
6,1.493000996,0.504148297,0.008149383
7,1.494573567,0.502575726,0.0050806
8,1.499917788,0.497231505,0.005554321
9,1.502524171,0.494625122,0.010862963
10,1.505857335,0.491291958,0.017776543
11,1.494278827,0.502870466,0.0056578
12,1.504526438,0.492622855,0.014998765
13,1.49645744,0.500691853,0.001368756
14,1.501013799,0.496135494,0.007776543
,,,
,,,
"Experiment 36 Rules: j1=1, j2=0, r1=3, r2=15, h=-1",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.566586929,1.385239775,1
1,1.263937771,0.687888932,0.86444321
2,1.379888295,0.571938409,0.762220988
3,1.462274563,0.48955214,0.65407284
4,1.511744967,0.440081736,0.553332099
5,1.538982692,0.412844012,0.45644321
6,1.548573146,0.403253557,0.366665432
7,1.545300496,0.406526208,0.285078131
8,1.532549013,0.419277691,0.209165432
9,1.51246441,0.439362293,0.13827037
